Marca temporal,Nombre en español,Nombre científico,Nativo de,Tipo de material vegetal,Cantidad de luz,Agua requerida,Agua requerida mensual (en litros),Radio máximo (en metros),Altura máxima (en metros),Clima óptimo,Para cada categoría señale una opción entre poco/medio/mucho [Aporte de color],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de abejas],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de mariposas],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de colibríes],Para cada categoría señale una opción entre poco/medio/mucho [Aporte aromático],Para cada categoría señale una opción entre poco/medio/mucho [Nivel de cuidado],Caduco / Perenne,Para cada evento eliga la época correspondiente [Siembra],Para cada evento eliga la época correspondiente [Floración],Para cada evento eliga la época correspondiente [Poda],Descripción,Nombre(s) de especie(s) con la cual se viene bien,Hardiness Zone,Ranking_agua,Ranking_color,Ranking_polinizadores,Ranking_aves,Ranking_aromas
18/6/2023 17:16:46,Lavanda,Lavandula angustifolia,Europa del Sur,"Arbusto, Floral",Mucha,Media,,0.75,0.6,Templado mediterráneo,Medio,Medio,Mucho,Poco,Mucho,Poco,Perenne (no bota hojas),Otoño,Primavera,Otoño,"Arbusto de aroma característico, de 50 - 80 cm de altura. Tallos leñosos, muy ramificados, de los que nacen ramas herbáceas profusamente cubiertas de hojas opuestas, angostas y alargadas, de 2 - 5 cm de longitud.",,Zona 7A,83,59,43,53,2
18/6/2023 17:22:41,Nogal,Juglans regia,Europa Oriental,"Árbol, Frutal, Floral",Media,Media,,4,5,Templado húmedo,Medio,Poco,Poco,Poco,Poco,Poco,Caduco (bota hojas),Invierno,Otoño,No aplica,"El nogal es un árbol de hoja caduca que alcanza los 25 m altura. El tronco tiene la corteza blanquecina y la ramificación es alterna, con la corteza de las ramas pardo rojiza y dura. Las yemas son pardo negruzcas, escamosas.",,Zona 5A,43,75,91,54,86
18/6/2023 17:27:14,Fucsia,Fuchsia,Australia y Nueva Zelanda,"Arbusto, Floral",Mucha,Media,,0.5,0.5,Templado húmedo,Mucho,Poco,Poco,Poco,Poco,Medio,Caduco (bota hojas),Verano,Primavera,Primavera,"La Fuchsia procumbens es una planta originaria de Nueva Zelanda caracterizada por hojas redondeadas, acorazonadas, alternas y flores de pequeñas dimensiones de 2 cm de largo, desprovistas de corola y con un cáliz que en la parte tubular es de color amarillo mientras que sus bordes son de color rojo-verdusco.",,Zona 10A,77,20,65,90,69
18/6/2023 17:32:27,Boj,Buxus sempervirens,Europa del Sur,"Arbusto, Floral",Mucha,Media,,0.75,1,Templado mediterráneo,Medio,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,Primavera,Invierno,"Se trata de un arbusto de crecimiento lento caracterizado por su follaje de un vivo color verde, que le permite ser útil para cercos transformándose en una barrera. También es utilizada para el arte de la topiaria, que consiste en dar formar artísticas a las plantas a través de la poda.",,Zona 3B,44,72,89,76,96
18/6/2023 17:48:11,"Primavera, Prímula",Primula pulverulenta,Asia Oriental,"Arbusto, Floral",Mucha,Media,,0.4,0.75,Templado húmedo,Mucho,Poco,Medio,Poco,Medio,Poco,Perenne (no bota hojas),Invierno,Primavera,Otoño,"Tiene abundante follaje, con hojas oblongas, dentadas y de textura rugosa de color verde amarillento y algo más claro en el envés. Algunas especies pueden alcanzar unos 40 cm de altura. Sus flores, de seis pétalos nacen en el centro formado por el follaje y tienen distintos tamaños y tonalidades: rosa, violáceo, rojo o amarillo, con una mota central de distinto tono en algunas de las variedades. De ellas se desprende un suave aroma.",,Zona 4B,80,33,66,92,36
18/6/2023 17:54:18,Bistorta,Polygonum bistorta,Europa del Norte,"Arbusto, Cubresuelo, Floral",Mucha,Media,,0.6,0.7,Templado húmedo,Mucho,Mucho,Mucho,Poco,Medio,Poco,Perenne (no bota hojas),Primavera,Primavera,Invierno,Es una planta perenne semiperenne que produce racimos de flores pequeñas de color rosa claro durante todo el verano y hasta el otoño.,,Zona 3B,29,36,28,75,53
18/6/2023 17:59:38,Manzanilla,Chamaemelum nobile,Europa Occidental,"Arbusto, Cubresuelo, Floral",Mucha,Media,,0.6,0.3,Templado húmedo,Mucho,Mucho,Mucho,Poco,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"Hierba perenne por medio de un rizoma muy ramificado mediante el cual va extendiéndose por el suelo, generalmente sin superar los 30 cm de altura. Hojas alternas (hasta 5 x 1,5 cm), todas ellas 2-3 veces pinnatisectas, divididas en lóbulos muy estrechos y de ápices agudos.",,Zona 7A,66,21,39,91,37
18/6/2023 18:05:21,Hierba de la moneda,Lysimachia punctata,Asia Oriental,"Arbusto, Floral",Mucha,Media,,0.75,0.75,Templado húmedo,Mucho,Medio,Medio,Poco,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,Otoño,"El género lysimachia punctata incluye muchas especies de plantas herbáceas y arbustos que crecen principalmente en pastizales húmedos y bosques. Las flores pueden tener forma de estrella, platillo o taza, y son blancas, amarillas, rosadas o moradas. Las especies más grandes se suelen usar como cultivo ornamental en jardines pantanosos o estanques; las más pequeñas, como plantas tapizantes.",,Zona 6A,45,34,58,98,58
18/6/2023 18:10:56,Dríade,Dryas octopetala,Europa del Norte,"Arbusto, Floral",Mucha,Mucha,,0.3,0.08,Templado subhúmedo,Mucho,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,Primavera,Invierno,"Dryas octopetala es una planta de flor ártico-alpina en la familia de las Rosaceae. Es un arbusto perenne pequeño que forma grandes colonias de apariencia almohadillada, y es una flor muy popular en las rocallas.",,Zona 4A,95,24,67,77,78
18/6/2023 18:15:20,Clavel,Dianthus caryophyllus,Europa del Sur,"Arbusto, Floral",Mucha,Media,,0.1,0.8,Templado mediterráneo,Mucho,Mucho,Mucho,Poco,Mucho,Poco,Perenne (no bota hojas),Primavera,Primavera,Invierno,"Sus hojas son lineales, angostas, opuestas y envainadoras, más anchas las basales que las caulinares. Cada tallo forma una flor terminal. ​ Sus flores son vistosas, pedunculadas en panícula o cima laxa, a veces solitarias, de bordes más o menos dentados.",,Zona 5A,78,22,33,89,8
18/6/2023 18:19:35,Esquila o cebolla rayada,puschkinia scilloides,Asia Occidental (Medio Oriente),"Arbusto, Floral",Mucha,Media,,0.3,0.2,Templado húmedo,Mucho,Poco,Poco,Poco,Medio,Poco,Perenne (no bota hojas),Verano,Primavera,Otoño,"Esta planta bulbosa, de abundante floración, produce múltiples flores blancas con una franja azul intenso y un ""tubo"" blanco cerrado en el medio.",,Zona 3A,59,47,70,78,38
18/6/2023 18:23:35,Tulipán,Tulipa tarda,Asia Central,"Arbusto, Floral",Mucha,Media,,0.15,0.15,Templado húmedo,Mucho,Poco,Poco,Poco,Medio,Poco,Perenne (no bota hojas),Otoño,Primavera,Verano,"Se trata de una especie herbácea, perenne y bulbosa que alcanza los 15 cm de altura. Presenta hojas basales arrosetadas, estrechas, y flores de 5 cm de diámetro, con forma de estrella, blancas y amarillas en el centro. Cada tallo lleva hasta 6 flores.",,Zona 3A,79,5,68,79,25
18/6/2023 18:27:32,Verbena,Verbena,América Central (incluye México),"Arbusto, Floral",Mucha,Poca,,0.45,0.2,Templado húmedo,Mucho,Medio,Medio,Poco,Mucho,Poco,Perenne (no bota hojas),Primavera,Primavera,Otoño,"La verbena es una planta de origen centroamericano y sudamericano y es muy conocida por sus propiedades medicinales. Su nombre científico es verbena híbrida y es una planta herbácea y perenne, es decir, se siembra una vez y durará una gran cantidad de años, salvo en los climas fríos que muere con la llegada del invierno.",,Zona 7A,22,38,46,57,14
18/6/2023 18:32:02,Áloe,Aloe Vera,África del Norte,"Arbusto, Floral",Mucha,Poca,,1,1.5,Templado mediterráneo,Medio,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Verano,Primavera,No aplica,"El Aloe vera (Aloe barbadensis miller), también llamada sábila, acíbar o áloe de Barbados, es una especie de suculenta que se cree que proviene de la península arábica, aunque actualmente crece de manera silvestre en los climas tropicales y áridos en todo el mundo.",,Zona 3A,11,68,75,81,70
18/6/2023 18:38:02,Bambú,Bambusoideae,Asia Oriental,"Arbusto, Enredadera, Frutal, Floral",Media,Mucha,,0.3,20,Templado húmedo,Poco,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,Primavera,Invierno,"Son plantas angiospermas perennes de la familia herbácea de las poáceas. Muchas variedades miden menos de 1 m de largo y con tallos (culmos) de medio centímetro de diámetro, aunque también existen los bambúes gigantes: de unos 25 m de alto y 30 cm de diámetro. Los hay herbáceos y leñosos, cespitosos y más expansivos, y los hay trepadores.",,Zona 6A,97,100,96,80,97
19/6/2023 11:10:09,Durillo,Viburnum tinus,Europa del Sur,"Arbusto, Floral",Media,Media,,1,2,Templado mediterráneo,Mucho,Mucho,Medio,Mucho,Medio,Poco,Perenne (no bota hojas),Otoño,Invierno,Primavera,"El Viburnun tinus es una planta autóctona de la península ibérica. Crece salvaje en nuestros montes compartiendo entorno por igual con encinas, coscojas, lentiscos o madroños. Aunque no por ello pasará desapercibido. El durillo es un arbusto de dureza probada (de ahí en parte su nombre), que aguanta el frío y el calor, el sol o la sombra con estoicismo, permaneciendo siempre verde a pesar del cambio estacional. Pero, además, suele florecer en invierno, cuando pocos se atreven a presentar batalla al frío.",,Zona 5A,30,37,34,11,63
19/6/2023 11:19:28,Peral,Pyrus salicifolia,Asia Central,"Árbol, Frutal",Mucha,Media,,3,8,Templado subhúmedo,Poco,Poco,Poco,Medio,Poco,Medio,Caduco (bota hojas),Primavera,Verano,Invierno,"El peral es un árbol piramidal que puede alcanzar los 20 metros de altura y vive unos 65 años. Su tronco es grueso, de corteza agrieta y gris. Las ramas son de corteza lisa, primero verdes y luego se tornan grisáceas. Sus raíces son profundas y sus hojas ovaladas. Sus flores son de color blanco o blanco rosado de la cual nacerá después el fruto; es decir, la pera.",,Zona 6B,60,99,83,16,83
19/6/2023 11:25:53,Mostajo,Sorbus aria,Asia Occidental (Medio Oriente),"Árbol, Floral",Media,Media,,4,11,Templado subhúmedo,Medio,Mucho,Medio,Medio,Poco,Medio,Caduco (bota hojas),Otoño,Primavera,Invierno,"El mostajo común (Sorbus aria) es un árbol de 7 a 14 metros de altura de corteza lisa y de color blanquecino. Hojas ovales simples de borde dentado, con el envés blanco, lo que da al árbol un aspecto plateado. Las flores son blancas reunidas en corimbos. Florece en primavera.",,Zona 7A,61,70,41,36,100
19/6/2023 11:34:00,Cerezo frutal,Prunus avium,Asia Central,"Árbol, Frutal, Floral",Mucha,Poca,,2,8,Templado mediterráneo,Mucho,Medio,Medio,Medio,Medio,Medio,Caduco (bota hojas),Primavera,Verano,Invierno,"El frutal del que principalmente derivan la mayoría de los cerezos comerciales de Europa y Asia es el cerezo de monte, cerezo dulce o silvestre. Su nombre científico es Prunus avium y es nativo de Europa. Pertenece a la familia de las Rosáceas, que como alguna que otra vez hemos comentado, es una de las familias más importantes, con casi 3.000 especies, y al que también pertenecen muchísimos otros frutales muy famosos como el manzano, el peral, el membrillero,  el melocotonero, el almendro, etc.",,Zona 8A,23,23,50,23,55
19/6/2023 11:37:59,Chirimoyo,Annona cherimola,América del Sur,"Árbol, Frutal",Mucha,Mucha,,3,10,Templado húmedo,Poco,Poco,Poco,Medio,Poco,Medio,Caduco (bota hojas),Primavera,Verano,Invierno,"Llamada Annona Cherimola, es un árbol caducifolio que pertenece a la familia de las anonáceas, de poco menos que 10 metros de altura, desarrollo tardío, y de hojas simples lanceoladas o anchas. Es una especie nativa de Perú, y secundariamente de Chile, Ecuador y Colombia, pero a lo largo de los siglos, ha visto su lugar dentro de otras varias regiones del mundo. Su fruta la chirimoya tiene una forma acorazonada y su cáscara la cual es verde tiene una textura escamosa y delicada. Con un peso medio que se encuentra entre el ¼ de kilo, tiene un centro blanco jugoso con grandes semillas negras dentro, que es cremoso, aromático y altamente dulce.",,Zona 8A,91,98,92,17,81
19/6/2023 11:41:29,Higuera,Ficus carica,Europa del Sur,"Árbol, Frutal",Mucha,Media,,5,5,Templado mediterráneo,Poco,Poco,Poco,Medio,Poco,Poco,Caduco (bota hojas),Primavera,Verano,Invierno,La higuera es un árbol de porte pequeño que requiere pocos cuidados y atenciones y que a finales de verano nos regala sus dulces frutos: los higos. Es realmente resistente tanto a las altas como a las bajas temperaturas y aguanta muy bien la sequía.,,Zona 6A,31,84,76,18,82
19/6/2023 11:46:08,Acerolo,Crataegus azarolus,Asia Occidental (Medio Oriente),"Árbol, Frutal, Floral",Media,Media,,2,4,Templado mediterráneo,Mucho,Mucho,Medio,Mucho,Medio,Medio,Caduco (bota hojas),Otoño,Primavera,Invierno,"El acerolo también es conocido comúnmente como “bizcobo” y su tamaño es de 3 metros a 5 metros de altura. Las hojas de caracterizan por presentar un color verde brillante y ser de tonos grisáceos en el envés. Sus flores del acerolo son de color blanco, dispuestas en corimbos que van de 3 a 18 flores. La fruta puede tener un color amarillo o rojo cuando se encuentra ya madura, su pulpa es apta para el consumo humano, su sabor es agridulce y se asemeja al de la manzana.",,Zona 7A,48,50,38,9,56
19/6/2023 11:52:24,Almez,Celtis australis,Europa del Sur,Árbol,Mucha,Poca,,3,15,Templado mediterráneo,Poco,Poco,Poco,Poco,Poco,Poco,Caduco (bota hojas),Primavera,No aplica,Invierno,"El almez es un árbol caducifolio de hasta 25 m de alto, de copa frondosa y ovalada, tronco recto y corteza lisa que en la vejez se agrieta un poco. Es un árbol que puede llegar a vivir hasta 600 años. Es ideal para lugares secos y soleados, además de que requiere poca agua para desarrollarse.",,Zona 8A,12,94,79,59,89
19/6/2023 11:56:32,Quejigo andaluz,Quercus canariensis,Europa del Sur,Árbol,Media,Media,,5,20,Templado mediterráneo,Poco,Poco,Poco,Poco,Poco,Poco,Caduco (bota hojas),Primavera,No aplica,Invierno,"También llamado Roble Carrasqueño y Roble Carballo, el Quejigo es un bonito árbol caducifolio, que puede alcanzar los 20 metros, cuando crece en buenas condiciones, con suelos profundos, aunque también es habitual encontrarlo con forma y porte arbustivo.",,Zona 7A,47,87,81,60,99
19/6/2023 11:59:47,Alcornoque,Quercus suber,Europa del Sur,"Árbol, Frutal",Media,Media,,5,8,Templado mediterráneo,Poco,Poco,Poco,Poco,Poco,Medio,Perenne (no bota hojas),Primavera,No aplica,Invierno,"El alcornoque es un árbol de porte medio con hojas perennes ovaladas y dentadas. Es originario de Europa y norte de África y puede llegar a vivir entre 150 y 250 años. El período de floración es de julio a agosto. Sus frutos, unas bellotas pequeñas y alargadas, sirven de alimento al ganado porcino.",,Zona 6A,46,93,80,58,87
19/6/2023 12:02:43,Encina,Quercus ilex,Europa del Sur,"Árbol, Frutal",Mucha,Poca,,3,15,Templado mediterráneo,Poco,Poco,Poco,Medio,Poco,Poco,Perenne (no bota hojas),Primavera,No aplica,Invierno,"La encina, denominada científicamente como Quercus Ilex, es un árbol de porte medio (tirando a bajo) capaz de alcanzar los 25 metros de altura (siempre y cuando se den las condiciones adecuadas de cultivo). Es una especie originaria de las regiones mediterráneas y una de las más distribuidas por todo el sur del continente europeo. Con el paso de los años, este árbol se ha adaptado a las condiciones extremas del clima mediterráneo y a todo tipo de suelos.",,Zona 6A,5,88,78,22,84
19/6/2023 12:07:02,Acacia de tres espinas,Gleditsia triacanthos,América del Norte (Canada y EEUU),Árbol,Mucha,Media,,4,10,Templado subhúmedo,Poco,Poco,Poco,Poco,Poco,Poco,Caduco (bota hojas),Primavera,No aplica,Invierno,"Gleditsia triacanthos, la acacia de tres espinas,​ gleditsia de tres espinas, “acacia” negra, o ""acacia"" o ""algarrobo"" de miel​ es una especie de árbol caducifolio de la familia Fabaceae. Se caracteriza por presentar la vaina de sus semillas una pulpa dulce, cuyo sabor y textura recuerda a la miel.",,Zona 3A,65,80,82,93,90
19/6/2023 12:11:55,Karo,Pittosoporum crassifolium,Australia y Nueva Zelanda,"Árbol, Floral",Mucha,Poca,,1.5,5,Templado subhúmedo,Poco,Poco,Poco,Poco,Poco,Medio,Perenne (no bota hojas),Primavera,No aplica,Invierno,"Son arbustos perennifolios de crecimiento rápido y porte redondeado que alcanzan 5 metros de altura. Las hojas son ovaladas y de color verde grisáceo en el haz; en el envés presentan pelos blancos. Las flores de color granate producen más aroma por la noche. Florecen desde primavera hasta principios de verano. Se utilizan para formar setos, como ejemplares aislados y en grupos arbustivos. Son ideales para jardines costeros por su resistencia al viento y a la salinidad.",,Zona 6A,6,85,77,61,85
19/6/2023 12:18:16,Chaquihue,Crinodendron hookerianum,América del Sur,"Arbusto, Floral",Poca,Mucha,,1,2,Templado subhúmedo,Mucho,Mucho,Medio,Mucho,Medio,Medio,Perenne (no bota hojas),Primavera,Verano,Invierno,"Es un arbol nativo del sur de Chile, que prefiere lugares sombríos y suelos húmedos. Las flores colgantes del chaquihue tienen un atractivo único haciéndolo merecedor de un gran aprecio en jardinería y del premio de la Real Sociedad de Horticultura al Mérito del Jardín. Se emplea a menudo en jardines urbanos y en proyectos paisajísticos.",,Zona 5A,100,3,25,5,39
19/6/2023 12:22:24,Mahonia,Mahonia aquifolium,América del Norte (Canada y EEUU),"Arbusto, Floral",Media,Media,,0.5,0.75,Templado subhúmedo,Medio,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Otoño,Invierno,Primavera,"Este vigoroso arbusto procedente del noroeste de América del Norte resulta bonito todo el año: su reluciente follaje perenne verde oscuro adquiere tintes rojizos durante los meses más fríos, produce flores de un brillante tono amarillo en primavera, y se cubre de densos racimos de bayas azules a comienzos del otoño. Más cualidades a su favor: una gran resistencia al frío, adaptabilidad a un amplio rango de condiciones de cultivo y bajo mantenimiento.",,Zona 4A,64,63,26,32,40
19/6/2023 12:29:18,Tijerilla,Corydalis flexuosa,Asia Oriental,"Cubresuelo, Floral",Poca,Media,,0.2,0.3,Templado subhúmedo,Mucho,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Otoño,Primavera,No aplica,"Esta atractiva planta, popular en los jardines de zonas frías, es una mata perenne originaria de las zonas montañosas y boscosas de China, donde crece en lugares sombríos. Alcanza unos 30 centímetros y posee un follaje finamente dividido y flores azules tubulares con un largo espolón, que aparecen en primavera.",,Zona 5A,82,7,17,43,24
19/6/2023 12:38:13,Centavo berro,Pachyphragma macrophyllum,Asia Occidental (Medio Oriente),"Cubresuelo, Floral",Poca,Media,,0.2,0.3,Templado subhúmedo,Medio,Medio,Medio,Poco,Poco,Poco,Perenne (no bota hojas),Otoño,Primavera,Invierno,"En primavera nacen cabezuelas de flores blancas con cuatro pétalos que destacan sobre las matas formadas por hojas verdes con un largo pecíolo y el limbo en forma de corazón. Resulta una cobertora excelente, ideal para lugares sombríos.",,Zona 6A,81,64,49,97,72
19/6/2023 12:42:59,Aster de Escocia,Aster novi-belgii,América del Norte (Canada y EEUU),"Arbusto, Floral",Media,Media,,0.2,0.75,Templado subhúmedo,Mucho,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Primavera,Otoño,Invierno,"El Aster Brumal, también conocida como Áster de Escocia, Margarita de Otoño o Cielo estrellado, es una planta perenne con unas flores muy parecidas a las margaritas pero con pétalos más delgados y alargados y de variados colores como el morado, el rosa o el azul aunque también las hay blancas. La flor de Aster crece bastante rápido y pronto llenará de alegría cualquier rincón de tu hogar por lo que es ideal como planta de interior.",,Zona 5A,62,4,2,44,23
19/6/2023 12:45:45,Aster de Nueva Inglaterra,Aster novae-angliae,América del Norte (Canada y EEUU),"Arbusto, Floral",Media,Media,,0.3,0.75,Templado subhúmedo,Mucho,Mucho,Mucho,Medio,Mucho,Medio,Perenne (no bota hojas),Primavera,Otoño,Invierno,"Áster de otoño es uno de los nombres que recibe esta herbácea perenne originaria del este y el centro de América del Norte, de profusa floración en forma de margaritas rosadas o moradas. Forma matas que pueden alcanzar entre 0,50 y 1,80 metros de altura, según el cultivar. Son de crecimiento rápido.",,Zona 6A,63,6,27,42,7
19/6/2023 12:51:16,Tomillo,Thymus vulgaris,Asia Occidental (Medio Oriente),"Cubresuelo, Floral",Mucha,Poca,,0.2,0.4,Templado mediterráneo,Medio,Mucho,Mucho,Medio,Mucho,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"El tomillo común (Thymus vulgaris), también tomillo vulgar o simplemente tomillo, es un arbusto de la familia de las labiadas ampliamente usado en gastronomía y medicina. Se caracteriza por sus aceites esenciales que producen un olor aromático agradable e intenso, con el que atrae a polinizadores de Diptera e Hymenoptera.​ Entre las diversas propiedades medicinales que tiene el tomillo se pueden mencionar que es digestivo, antiséptico y vigorizante.",,Zona 7A,4,65,7,37,4