Marca temporal,Nombre en español,Nombre científico,Nativo de,Tipo de material vegetal,Cantidad de luz,Agua requerida,Agua requerida mensual (en litros),Radio máximo (en metros),Altura máxima (en metros),Clima óptimo,Para cada categoría señale una opción entre poco/medio/mucho [Aporte de color],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de abejas],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de mariposas],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de colibríes],Para cada categoría señale una opción entre poco/medio/mucho [Aporte aromático],Para cada categoría señale una opción entre poco/medio/mucho [Nivel de cuidado],Caduco / Perenne,Para cada evento eliga la época correspondiente [Siembra],Para cada evento eliga la época correspondiente [Floración],Para cada evento eliga la época correspondiente [Poda],Descripción,Nombre(s) de especie(s) con la cual se viene bien,Hardiness Zone
31/5/2023 23:22:52,Aster,Aster ageratoides,América del Norte (Canada y EEUU),"Arbusto,Floral",2,1,,1,0.7,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Primavera,Otoño,Primavera,"El aster ageratoides es una hierba perenne, notable por sus tallos peludos y sus cabezas florales, que recuerdan a las de las margaritas. Se usa en espacios públicos como planta de cobertura gracias a su habilidad de competir contra las malezas.",,Zona 4A
31/5/2023 23:37:57,Astromelia,Alstroemeria,América del Sur,"Arbusto,Floral",1,1,,0.5,1,Templado subhúmedo,Mucho,Mucho,Mucho,Mucho,Poco,Medio,Perenne (no bota hojas),Otoño,Verano,Invierno,"Las flores del astromelias aunque no tienen aroma poseen una excepcional belleza, por ese motivo hay quienes la consideran la flor más bella del mundo. Esta es una planta empleada de forma ornamental y para usar las flores en ramos porque son duraderas. En algunos países, la flor está relacionada con la amistad y es común que se regale entre amigos.",,Zona 8A
31/5/2023 23:47:59,Jazmín,Jasminum officinale,Asia meridional,"Enredadera,Floral",1,1,,2,6,Templado subhúmedo,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Perenne (no bota hojas),Primavera,Verano,Primavera,"El jazmín es una de las plantas más bonitas y aromáticas que puedes poner en tu jardín. Sus pequeñas flores blancas, además de ser muy decorativas, emiten un aroma embriagador. En el jardín o en el porche creará un ambiente único, pero también lo puedes tener dentro de casa plantada en macetas.",,Zona 7A
31/5/2023 23:57:30,Tulipero,Liriodendron tulipifera,América del Norte (Canada y EEUU),Árbol,2,2,,4,40,Templado subhúmedo,Poco,Poco,Poco,Poco,Poco,Poco,Caduco (bota hojas),Otoño,No aplica,Invierno,"El tulipero es un lindo árbol que bota sus hojas, caducas, en otoño e invierno. Tiene su floración en primavera pero es bien ligera a la vista porque se mimetiza muy bien con las hojas, es un árbol de gran follaje de color verde amarillento es muy adecuado para paisajismo, tiene rápido crecimiento y puede llegar a 30 mts. de altura.",,Zona 5A
1/6/2023 0:08:59,Arrayán,Luma apiculata,América del Sur,"Árbol,Floral",1,1,,3,5,Templado subhúmedo,Mucho,Mucho,Medio,Mucho,Mucho,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"El arrayán es un árbol nativo perenne de muy lindo aspecto, hoja verde brillante y aromático, se caracteriza por su tronco de color rojo ladrillo, requiere abundante agua y tiene crecimiento lento, llega a medir hasta 15 mts. de altura. Para mejor crecimiento agrega en la casilla de plantación tierra orgánica.",Patagua. Canelo.,Zona 9A
1/6/2023 0:16:22,Pimiento,Schinus molle,América del Sur,"Árbol,Frutal",2,0,,5,10,Templado mediterráneo,Medio,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,Todo el año,No aplica,"El pimiento es un árbol nativo perenne, de muy rápido crecimiento que requiere poca agua y entrega un rica sombra. Es muy resistente tanto al sol como a las heladas. No es exigente con el suelo, puedes plantarlo incluso en tierras poco fértiles. ",Algarrobo. Espino,Zona 9A
1/6/2023 18:46:00,Salvia,Salvia superba,Europa del Sur,"Arbusto,Floral",2,1,,0.5,0.6,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Mucho,Medio,Perenne (no bota hojas),Primavera,Verano,No aplica,"Planta arbustiva de pequeño tamaño, perenne, formada por numerosas hojas verdes de color grisáceo o púrpura y peludas. Amado por las abejas y otros polinizadores",,Zona 5A
1/6/2023 18:54:54,Agapanto,Agapanthus umbellatus,África meridional,"Arbusto,Floral",1,1,,0.3,0.4,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Poco,Poco,Perenne (no bota hojas),Primavera,Verano,No aplica,"Conocida también como Lirio africano o Flor del amor, el agapanto es una planta bella y especial. Hace gala de unas hojas alargadas de color verde oscuro que surgen de un tallo central y que se llenan de flores durante los meses estivales aportando color y alegría al jardín.",,Zona 8A
1/6/2023 19:02:35,Liquidámbar,Liquidambar styraciflua,América del Norte (Canada y EEUU),Árbol,1,1,,3,30,Templado subhúmedo,Mucho,Poco,Poco,Poco,Poco,Medio,Caduco (bota hojas),Otoño,Otoño,Invierno,"Pocos árboles resultan tan espectaculares en otoño como el Liquidambar styraciflua, una especie caducifolia oriunda del este norteamericano, que hoy exhibe su belleza en parques, jardines y el arbolado urbano de muchas ciudades.",,Zona 5A
1/6/2023 19:11:13,Grevilea,Grevillea juniperina,Australia y Nueva Zelanda,"Arbusto,Floral",2,1,,0.8,1.5,Templado mediterráneo,Mucho,Mucho,Mucho,Mucho,Medio,Medio,Perenne (no bota hojas),Otoño,Invierno,Otoño,"Notable por su fino follaje y su colorida floración, Grevillea juniperina tiene su lugar en todos los jardines donde el invierno no es demasiado riguroso. No muy exigente y fácil de mantener, este arbusto es magnífico aislado y permite construir setos originales. Además, es frecuentemente visitada por colibríes.",,Zona 8A
2/6/2023 0:14:30,Campanilla azul,Convolvulus sabatius,Europa del Sur,"Arbusto,Cubresuelo,Floral",2,1,,0.2,0.2,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"El Convolvulus sabatius* es una vivaz de base leñosa, cuyos tallos volubles le permiten trepar o extenderse como una alfombra de 15 a 25 centímetros de altura salpicada de pequeñas campanillas de color azul alilado. Es ideal para darle un aire silvestre y espontáneo a las plantaciones de jardinería sostenible, pero también para cultivar sobre un muro o en tiestos y cestas colgantes que permitan el lucimiento de su efecto cascada.",,Zona 8A
2/6/2023 0:19:50,Nepeta,Nepeta mussini,Europa del Sur,"Arbusto,Cubresuelo,Floral",2,0,,0.2,0.3,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Mucho,Poco,Caduco (bota hojas),Primavera,Verano,Invierno,"Masas de espigas de color azul, violeta o lila caracterizan la floración de las nepetas, un género de vivaces que forman matas que pueden alcanzar entre 20 y 60 centímetros de altura, e incluso más en algunas variedades. Son aptas para la jardinería sostenible, ya que soportan la sequedad y pueden vivir sin dificultad en suelos áridos.",,Zona 8A
2/6/2023 0:27:56,Margarita cimarrona,Erigeron karvinskianus,América Central (incluye México),"Arbusto,Cubresuelo,Floral",2,1,,0.1,0.2,Templado subhúmedo,Mucho,Mucho,Mucho,Poco,Medio,Poco,Caduco (bota hojas),Primavera,Verano,Invierno,"La Margarita cimarrona es una planta vivaz florida de porte rastrero, muy extensa y de crecimiento rápido. Es muy utilizada en rocallas, macizos y jardineras, además de ser muy útil como tapizante de arbustos o árboles pequeños. Tomada en té tiene propiedades para aliviar la gastroenteritis, diarrea y el dolor corporal.",,Zona 7B
2/6/2023 0:37:49,Romero,Salvia rosmarinus,Europa del Sur,"Arbusto,Cubresuelo,Floral",2,0,,0.2,0.5,Templado mediterráneo,Medio,Mucho,Mucho,Medio,Mucho,Medio,Perenne (no bota hojas),Primavera,Verano,Primavera,"El romero es una planta que pertenece a la familia de las labiadas y que puede llegar a medir hasta un metro de altura en condiciones ideales. Es un arbusto resistente con tallos ramificados y hojas pequeñas, duras, fina y alargada como agujas (acicular) que dan mucho aroma, siendo éste uno de los motivos por el cual es muy conocido.",,Zona 8A
2/6/2023 0:53:26,Salvia rusa,Perovskia atriplicifolia,Asia Oriental,"Arbusto,Floral",1,0,,1,1.2,Templado mediterráneo,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"La perovskia es una linda planta perenne, de muy fácil cuidado. Debes ponerla a pleno sol y es resistente a heladas. Es de bajo consumo hídrico y muy atractiva por su coloración lila y su suave movimiento. Tiene una larga floración que abarca desde la primavera hasta comienzos del otoño. No es exigente con los suelos pero si con le buen drenaje.",,Zona 8B